"state","state_abv","turnout_estimate2022","turnout_estimate2018","turnout_estimate_difference","turnoutRate2022","turnoutRate2018","turnout_Rate_difference","voting_eligible_pop2022","voting_eligible_pop2018","voting_eligible_difference","voting_age_pop2022","voting_age_pop2018","voting_age_difference"
"United States",NA,112143104,118581921,-6438817,0.468296796854717,0.500156418134205,-0.031859621279487,239470149.6,237089671.751811,2380477.84818915,258310278,255801551.7,2508726.30000001
"Alabama","AL",1419718,1721906,-302188,0.377411363329641,0.469630650842936,-0.0922192875132947,3761725.634,3666511.11231638,95214.5216836189,3918115,3820544.212,97570.7880000002
"Alaska","AK",266573,285009,-18436,0.506863937820478,0.548186122949583,-0.0413221851291048,525926.1512,519912.832646099,6013.31855390128,552585,551450.6481,1134.35190000001
"Arizona","AZ",2592312,2409910,182402,0.494447266362627,0.474193322522478,0.0202539438401483,5242848.28,5082125.54993488,160722.730065118,5790703,5678478.966,112224.034
"Arkansas","AR",914143,898793,15350,0.41945874987872,0.413005401239172,0.00645334863954711,2179339.447,2176225.77647479,3113.67052521044,2333413,2321029.421,12383.5789999999
"California","CA",11224989,12712542,-1487553,0.438372043254459,0.493070759275079,-0.0546987160206199,25606078.61,25782388.756312,-176310.146311965,30079178,30659000.3,-579822.300000001
"Colorado","CO",2540680,2583580,-42900,0.584535572556834,0.613558077732252,-0.0290225051754189,4346493.386,4210815.72187765,135677.664122347,4631586,4523288.63,108297.37
"Connecticut","CT",1297801,1421953,-124152,0.488820656471413,0.54750853680138,-0.0586878803299662,2654963.498,2597133.93385105,57829.564148949,2882991,2838275.126,44715.8739999998
"Delaware","DE",325632,365467,-39835,0.431883343356052,0.51201574634783,-0.0801324029917781,753981.3818,713780.782342826,40200.5994571743,807407,772849.5959,34557.4041
"District of Columbia","DC",205746,231482,-25736,0.435820483192992,0.437121250292597,-0.00130076709960536,472088.8713,529560.161728702,-57471.2904287019,511206,578702.0667,-67496.0667
"Florida","FL",7796916,8318824,-521908,0.493536976002501,0.542541435738119,-0.0490044597356172,15798038.2,15333066.6600282,464971.539971761,17654638,17321691.3,332946.699999999
"Georgia","GA",3964926,3949905,15021,0.525893815039702,0.540856443907337,-0.014962628867635,7539404.128,7303056.18892972,236347.93907028,8333920,8148933.483,184986.517
"Hawaii","HI",419363,398657,20706,0.41058449733359,0.394881408153504,0.0157030891800861,1021380.502,1009561.3309934,11819.1710065992,1117153,1115619.596,1533.4040000001
"Idaho","ID",591000,612536,-21536,0.422570342280054,0.485896570118579,-0.0633262278385252,1398583.717,1260630.42562847,137953.291371526,1491094,1350318.792,140775.208
"Illinois","IL",4400000,4635541,-235541,0.492881504210402,0.515110406135728,-0.0222289019253261,8927094.976,8999121.24621021,-72026.270210214,9728273,9848646.79,-120373.789999999
"Indiana","IN",2522298,2308258,214040,0.501219149232457,0.465345780281035,0.0358733689514219,5032325.688,4960307.14752797,72018.5404720297,5247139,5176820.351,70318.6490000002
"Iowa","IA",1230416,1334279,-103863,0.522591288553879,0.579207842620522,-0.0566165540666425,2354451.8,2303627.30235712,50824.4976428789,2463743,2431107.405,32635.5950000002
"Kansas","KS",1e+06,1060000,-60000,0.475132940902127,0.510512376774816,-0.0353794358726885,2104674.111,2076345.35071725,28328.7602827528,2233867,2215607.533,18259.4670000002
"Kentucky","KY",1420000,1612353,-192353,0.424640438855822,0.48702216674734,-0.062381727891518,3344005.587,3310635.75764605,33369.8293539505,3503703,3468415.799,35287.2009999999
"Louisiana","LA",1400000,1519405,-119405,0.419062759642587,0.451173987632335,-0.0321112279897486,3340788.385,3367669.77186232,-26881.3868623213,3509697,3560271.423,-50574.423
"Maine","ME",680000,646013,33987,0.613817520368422,0.599091319945544,0.0147262004228781,1107821.099,1078321.41527058,29499.6837294176,1131275,1097649.724,33625.2760000001
"Maryland","MD",2e+06,2335128,-335128,0.454418692488922,0.541657007793426,-0.0872383153045039,4401227.399,4311082.41267425,90144.9863257473,4787556,4715594.725,71961.2750000004
"Massachusetts","MA",2500000,2752665,-252665,0.492576316622502,0.546449280621104,-0.0538729639986025,5075355.667,5037365.95072698,37989.7162730247,5578715,5546390.19,32324.8099999996
"Michigan","MI",4475000,4341340,133660,0.589734724752538,0.577308779342715,0.0124259454098227,7588157.543,7519961.85636178,68195.6866382184,7879117,7849909.112,29207.8880000003
"Minnesota","MN",2525873,2611365,-85492,0.610082151750051,0.641517676275174,-0.0314355245251229,4140217.826,4070604.90548334,69612.9205166567,4390666,4347040.506,43625.4939999999
"Mississippi","MS",8e+05,961025,-161025,0.371074081615107,0.438111387809116,-0.0670373061940094,2155903.739,2193563.15937333,-37659.4203733318,2235296,2278027.402,-42731.4019999998
"Missouri","MO",2075000,2442306,-367306,0.449860993776765,0.53288785071441,-0.0830268569376448,4612535.936,4583151.96476285,29383.9712371472,4792183,4773831.251,18351.7489999998
"Montana","MT",468326,509213,-40887,0.536091578300655,0.613155342530679,-0.0770637642300245,873593.2795,830479.59412426,43113.6853757402,889551,843058.2656,46492.7344
"Nebraska","NE",681569,706652,-25083,0.486384533227464,0.51471718661036,-0.0283326533828961,1401296.615,1372893.73345704,28402.881542962,1485801,1461219.957,24581.0430000001
"Nevada","NV",1023617,975980,47637,0.462669204654083,0.464787427075686,-0.00211822242160287,2212416.538,2099841.65479819,112574.883201813,2479288,2403374.327,75913.673
"New Hampshire","NH",626845,580568,46277,0.563019758235977,0.539685243660837,0.0233345145751401,1113362.348,1075752.96308241,37609.3849175863,1145348,1107322.451,38025.5490000001
"New Jersey","NJ",2650000,3248642,-598642,0.415110433121632,0.534839501631483,-0.119729068509851,6383843.403,6074050.23393054,309793.169069462,7204207,6945710.945,258496.055
"New Mexico","NM",714797,701654,13143,0.466539683708969,0.46811268636216,-0.00157300265319105,1532124.758,1498899.77443841,33224.9835615882,1646567,1624252.576,22314.4240000001
"New York","NY",5850000,6230959,-380959,0.426446051442848,0.4574527359922,-0.0310066845493528,13718030.64,13620989.688662,97040.9513379615,15332675,15412110.17,-79435.1699999999
"North Carolina","NC",3790100,3755778,34322,0.481370353554675,0.490063865759521,-0.0086935122048466,7873563.405,7663854.1676178,209709.237382198,8350523,8222687.254,127835.746
"North Dakota","ND",241879,330598,-88719,0.428053760184182,0.58736039487875,-0.159306634694567,565066.8736,562853.74853755,2213.12506244972,581945,582570.8317,-625.831699999981
"Ohio","OH",4275000,4496834,-221834,0.482403708714838,0.509141647715141,-0.0267379390003037,8861872.168,8832186.52447761,29685.6435223874,9139002,9119467.173,19534.8269999996
"Oklahoma","OK",1153284,1190000,-36716,0.401147623550526,0.420706287683647,-0.0195586641331207,2874961.566,2828576.69314139,46384.8728586123,3040481,3011497.707,28983.2930000001
"Oregon","OR",1948054,1914923,33131,0.608720084969769,0.612455930980307,-0.00373584601053845,3200245.972,3126629.85716367,73616.1148363305,3399899,3364846.995,35052.0049999999
"Pennsylvania","PA",5400000,5043029,356971,0.550226102043084,0.51748451274035,0.0327415893027335,9814147.275,9745275.2224304,68872.0525696035,10222313,10172074.49,50238.5099999998
"Rhode Island","RI",370000,381267,-11267,0.449078474433451,0.475375561619052,-0.0262970871856006,823909.4525,802033.235998642,21876.2165013578,885918,855526.2181,30391.7818999999
"South Carolina","SC",1718626,1726527,-7901,0.433769312473434,0.444770311874968,-0.0110009994015346,3962073.735,3881839.57854937,80234.1564506283,4136710,4057306.436,79403.5639999998
"South Dakota","SD",354670,341048,13622,0.542446679236905,0.531014506549429,0.0114321726874764,653833.8487,642257.406894879,11576.4418051206,681018,669422.5293,11595.4706999999
"Tennessee","TN",1650000,2267428,-617428,0.316048381849352,0.446933944325585,-0.130885562476233,5220719.658,5073295.57038123,147424.087618768,5487953,5337147.216,150805.784
"Texas","TX",8100000,8375000,-275000,0.424896121855122,0.455711851204438,-0.0308157293493168,19063483.01,18377841.1245286,685641.885471366,22250703,21711618.2,539084.800000001
"Utah","UT",1085000,1082972,2028,0.469427220761915,0.506024196321367,-0.0365969755594515,2311327.405,2140158.52971628,171168.875283717,2461858,2291926.476,169931.524
"Vermont","VT",290000,278230,11770,0.555043198581509,0.556563635292813,-0.00152043671130464,522481.855,499906.897175595,22574.9578244045,532980,510397.1938,22582.8062
"Virginia","VA",2750000,3363505,-613505,0.437407208096878,0.54446564144165,-0.107058433344773,6287047.742,6177625.81141764,109421.930582362,6770668,6687863.37,82804.6299999999
"Washington","WA",3060000,3133448,-73448,0.557717109009727,0.583162174014213,-0.0254450650044856,5486652.553,5373201.72608388,113450.826916115,6102976,5981385.558,121590.442
"West Virginia","WV",494753,597149,-102396,0.356561191302468,0.42525750188573,-0.0686963105832624,1387568.283,1404205.68091579,-16637.3979157906,1414324,1429959.415,-15635.415
"Wisconsin","WI",2660000,2675000,-15000,0.601799259607366,0.614303298590262,-0.0125040389828955,4420078.552,4354526.51180409,65552.0401959093,4630594,4563564.138,67029.8619999997
"Wyoming","WY",198198,205275,-7077,0.457007019872748,0.478609807706323,-0.0216027878335743,433686.9925,428898.440221596,4788.55227840366,451757,445747.4246,6009.57539999997
