"origin_state","Jun","Jul","dist_change"
"AK",231.294959213793,231.294959213793,0
"AL",65.7609748791045,130.753395886567,64.9924210074627
"AR",95.839430332,152.625906133333,56.7864758013333
"AZ",87.2178985373333,129.586798397333,42.36889986
"CA",28.8331986655172,28.8331986655172,0
"CO",77.048328278125,80.398810371875,3.35048209375
"CT",10.9209095875,10.9209095875,0
"DC",1.0538455,1.0538455,0
"DE",8.84998286666667,8.84998286666667,0
"FL",45.1210359835821,45.6415873268657,0.520551343283582
"GA",61.5636403830189,69.6622718754717,8.09863149245283
"HI",53.74214174,53.74214174,0
"IA",62.7999215037374,63.4123801906061,0.612458686868687
"ID",71.9735660159091,71.9735660159091,0
"IL",59.9328595735294,60.5387575539216,0.605897980392157
"IN",48.8162648601087,48.8162648601087,0
"KS",134.40522808381,133.498943313333,-0.90628477047619
"KY",90.353978025,99.599479775,9.24550175
"LA",71.7815672125,71.7815672125,0
"MA",27.1698104407143,27.4274575121429,0.257647071428571
"MD",23.1428923333333,23.1428923333333,0
"ME",9.8756465,9.8756465,0
"MI",47.1944821831325,47.1944821831325,0
"MN",77.345836688046,82.9352845616092,5.58944787356322
"MO",115.039700525217,115.492934347826,0.453233822608695
"MS",81.9012318182927,87.7148795256098,5.81364770731707
"MT",120.225217220179,120.225217220179,0
"NC",49.65978051,49.97966235,0.31988184
"ND",206.676406024528,206.676406024528,0
"NE",150.64993546129,150.871818472043,0.221883010752688
"NH",27.74155151,27.74155151,0
"NJ",9.6205422347619,9.76733378714286,0.146791552380952
"NM",108.366928584848,109.239729493939,0.872800909090909
"NV",114.568420463529,114.568420463529,0
"NY",16.3845963425806,16.3845963425806,0
"OH",49.1856323056818,51.1106191125,1.92498680681818
"OK",177.403372103896,217.71496461039,40.3115925064935
"OR",59.6057505944444,59.5444763722222,-0.061274222222222
"PA",47.2852996714925,47.2852996714925,0
"RI",17.79507686,17.79507686,0
"SC",44.1915141695652,46.9123096043478,2.72079543478261
"SD",173.218347025758,218.286382530303,45.0680355045455
"TN",61.5562354189474,86.1081286494737,24.5518932305263
"TX",135.59517087248,314.445769484252,178.850598611772
"UT",116.471078993103,116.914352786207,0.443273793103448
"VA",40.0525312080451,40.0525312080451,0
"VT",28.2746971642857,30.2036553142857,1.92895815
"WA",39.2027223564103,39.2027223564103,0
"WI",79.0591453277778,120.081923569444,41.0227782416667
"WV",78.8011874374545,116.776502363636,37.9753149261818
"WY",148.920387578261,148.920387578261,0
